"","Leto","Drzava","Prevozno_sredstvo","Delez"
"234",2009,"Poland","Motor coaches, buses and trolley buses",17.9
"235",2009,"Portugal","Trains",4.4
"236",2009,"Portugal","Passenger cars",89.4
"237",2009,"Portugal","Motor coaches, buses and trolley buses",6.2
"238",2009,"Romania","Trains",6.2
"239",2009,"Romania","Passenger cars",76.5
"240",2009,"Romania","Motor coaches, buses and trolley buses",17.3
"241",2009,"Slovenia","Trains",2.6
"242",2009,"Slovenia","Passenger cars",86.7
"243",2009,"Slovenia","Motor coaches, buses and trolley buses",10.7
"244",2009,"Slovakia","Trains",6.6
"245",2009,"Slovakia","Passenger cars",77.6
"246",2009,"Slovakia","Motor coaches, buses and trolley buses",15.8
"247",2009,"Finland","Trains",5.1
"248",2009,"Finland","Passenger cars",84.9
"249",2009,"Finland","Motor coaches, buses and trolley buses",10
"250",2009,"Sweden","Trains",8.7
"251",2009,"Sweden","Passenger cars",84.1
"252",2009,"Sweden","Motor coaches, buses and trolley buses",7.1
"253",2009,"United Kingdom","Trains",6.9
"254",2009,"United Kingdom","Passenger cars",87
"255",2009,"United Kingdom","Motor coaches, buses and trolley buses",6
"256",2009,"Norway","Trains",4.7
"257",2009,"Norway","Passenger cars",88.6
"258",2009,"Norway","Motor coaches, buses and trolley buses",6.7
"259",2009,"Switzerland","Trains",17.4
"260",2009,"Switzerland","Passenger cars",77.5
"261",2009,"Switzerland","Motor coaches, buses and trolley buses",5.1
"262",2010,"European Union (current composition)","Trains",7.2
"263",2010,"European Union (current composition)","Passenger cars",83.4
"264",2010,"European Union (current composition)","Motor coaches, buses and trolley buses",9.4
"265",2010,"Belgium","Trains",7.7
"266",2010,"Belgium","Passenger cars",79.7
"267",2010,"Belgium","Motor coaches, buses and trolley buses",12.7
"268",2010,"Bulgaria","Trains",3.6
"269",2010,"Bulgaria","Passenger cars",80
"270",2010,"Bulgaria","Motor coaches, buses and trolley buses",16.4
"271",2010,"Czechia","Trains",7.5
"272",2010,"Czechia","Passenger cars",73
"273",2010,"Czechia","Motor coaches, buses and trolley buses",19.5
"274",2010,"Denmark","Trains",9.8
"275",2010,"Denmark","Passenger cars",79.7
"276",2010,"Denmark","Motor coaches, buses and trolley buses",10.5
"277",2010,"Germany (until 1990 former territory of the FRG)","Trains",8
"278",2010,"Germany (until 1990 former territory of the FRG)","Passenger cars",86
"279",2010,"Germany (until 1990 former territory of the FRG)","Motor coaches, buses and trolley buses",6
"280",2010,"Estonia","Trains",2
"281",2010,"Estonia","Passenger cars",81.4
"282",2010,"Estonia","Motor coaches, buses and trolley buses",16.6
"283",2010,"Ireland","Trains",2.9
"284",2010,"Ireland","Passenger cars",82.6
"285",2010,"Ireland","Motor coaches, buses and trolley buses",14.5
"286",2010,"Greece","Trains",1.1
"287",2010,"Greece","Passenger cars",81.6
"288",2010,"Greece","Motor coaches, buses and trolley buses",17.3
"289",2010,"Spain","Trains",5.4
"290",2010,"Spain","Passenger cars",82.3
"291",2010,"Spain","Motor coaches, buses and trolley buses",12.3
"292",2010,"France","Trains",9.3
"293",2010,"France","Passenger cars",85.5
"294",2010,"France","Motor coaches, buses and trolley buses",5.3
"295",2010,"Croatia","Trains",5.6
"296",2010,"Croatia","Passenger cars",83.7
"297",2010,"Croatia","Motor coaches, buses and trolley buses",10.7
"298",2010,"Italy","Trains",5.5
"299",2010,"Italy","Passenger cars",81.7
"300",2010,"Italy","Motor coaches, buses and trolley buses",12.8
"301",2010,"Latvia","Trains",4.7
"302",2010,"Latvia","Passenger cars",78.2
"303",2010,"Latvia","Motor coaches, buses and trolley buses",17.1
"304",2010,"Lithuania","Trains",0.7
"305",2010,"Lithuania","Passenger cars",91.7
"306",2010,"Lithuania","Motor coaches, buses and trolley buses",7.6
"307",2010,"Luxembourg","Trains",4.5
"308",2010,"Luxembourg","Passenger cars",83.5
"309",2010,"Luxembourg","Motor coaches, buses and trolley buses",12.1
"310",2010,"Hungary","Trains",10
"311",2010,"Hungary","Passenger cars",68.6
"312",2010,"Hungary","Motor coaches, buses and trolley buses",21.5
"313",2010,"Netherlands","Trains",10.2
"314",2010,"Netherlands","Passenger cars",86.9
"315",2010,"Netherlands","Motor coaches, buses and trolley buses",2.9
"316",2010,"Austria","Trains",11
"317",2010,"Austria","Passenger cars",78.4
"318",2010,"Austria","Motor coaches, buses and trolley buses",10.6
"319",2010,"Poland","Trains",7.1
"320",2010,"Poland","Passenger cars",76.1
"321",2010,"Poland","Motor coaches, buses and trolley buses",16.8
"322",2010,"Portugal","Trains",4.4
"323",2010,"Portugal","Passenger cars",89.1
"324",2010,"Portugal","Motor coaches, buses and trolley buses",6.5
"325",2010,"Romania","Trains",5.6
"326",2010,"Romania","Passenger cars",78
"327",2010,"Romania","Motor coaches, buses and trolley buses",16.3
"328",2010,"Slovenia","Trains",2.5
"329",2010,"Slovenia","Passenger cars",86.8
"330",2010,"Slovenia","Motor coaches, buses and trolley buses",10.8
"331",2010,"Slovakia","Trains",6.7
"332",2010,"Slovakia","Passenger cars",78
"333",2010,"Slovakia","Motor coaches, buses and trolley buses",15.3
"334",2010,"Finland","Trains",5.2
"335",2010,"Finland","Passenger cars",84.9
"336",2010,"Finland","Motor coaches, buses and trolley buses",9.9
"337",2010,"Sweden","Trains",8.7
"338",2010,"Sweden","Passenger cars",84
"339",2010,"Sweden","Motor coaches, buses and trolley buses",7.3
"340",2010,"United Kingdom","Trains",7.5
"341",2010,"United Kingdom","Passenger cars",86.3
"342",2010,"United Kingdom","Motor coaches, buses and trolley buses",6.2
"343",2010,"Norway","Trains",4.8
"344",2010,"Norway","Passenger cars",88.3
"345",2010,"Norway","Motor coaches, buses and trolley buses",6.9
"346",2010,"Switzerland","Trains",17.6
"347",2010,"Switzerland","Passenger cars",77.3
"348",2010,"Switzerland","Motor coaches, buses and trolley buses",5.1
"349",2011,"European Union (current composition)","Trains",7.4
"350",2011,"European Union (current composition)","Passenger cars",83.2
"351",2011,"European Union (current composition)","Motor coaches, buses and trolley buses",9.4
"352",2011,"Belgium","Trains",7.7
"353",2011,"Belgium","Passenger cars",79.5
"354",2011,"Belgium","Motor coaches, buses and trolley buses",12.8
"355",2011,"Bulgaria","Trains",3.5
"356",2011,"Bulgaria","Passenger cars",80.6
"357",2011,"Bulgaria","Motor coaches, buses and trolley buses",15.9
"358",2011,"Czechia","Trains",7.6
"359",2011,"Czechia","Passenger cars",74.4
"360",2011,"Czechia","Motor coaches, buses and trolley buses",18
"361",2011,"Denmark","Trains",10
"362",2011,"Denmark","Passenger cars",80
"363",2011,"Denmark","Motor coaches, buses and trolley buses",10.1
"364",2011,"Germany (until 1990 former territory of the FRG)","Trains",8.5
"365",2011,"Germany (until 1990 former territory of the FRG)","Passenger cars",85.7
"366",2011,"Germany (until 1990 former territory of the FRG)","Motor coaches, buses and trolley buses",5.8
"367",2011,"Estonia","Trains",1.9
"368",2011,"Estonia","Passenger cars",81.8
"369",2011,"Estonia","Motor coaches, buses and trolley buses",16.3
"370",2011,"Ireland","Trains",3.8
"371",2011,"Ireland","Passenger cars",76.8
"372",2011,"Ireland","Motor coaches, buses and trolley buses",19.4
"373",2011,"Greece","Trains",0.8
"374",2011,"Greece","Passenger cars",81.6
"375",2011,"Greece","Motor coaches, buses and trolley buses",17.6
"376",2011,"Spain","Trains",5.6
"377",2011,"Spain","Passenger cars",80.9
"378",2011,"Spain","Motor coaches, buses and trolley buses",13.5
"379",2011,"France","Trains",9.3
"380",2011,"France","Passenger cars",85.3
"381",2011,"France","Motor coaches, buses and trolley buses",5.4
"382",2011,"Croatia","Trains",4.9
"383",2011,"Croatia","Passenger cars",84.6
"384",2011,"Croatia","Motor coaches, buses and trolley buses",10.5
"385",2011,"Italy","Trains",5.7
"386",2011,"Italy","Passenger cars",81.1
"387",2011,"Italy","Motor coaches, buses and trolley buses",13.2
"388",2011,"Latvia","Trains",4.9
"389",2011,"Latvia","Passenger cars",76.2
"390",2011,"Latvia","Motor coaches, buses and trolley buses",18.9
"391",2011,"Lithuania","Trains",0.8
"392",2011,"Lithuania","Passenger cars",90.8
"393",2011,"Lithuania","Motor coaches, buses and trolley buses",8.3
"394",2011,"Luxembourg","Trains",4.4
"395",2011,"Luxembourg","Passenger cars",83.1
"396",2011,"Luxembourg","Motor coaches, buses and trolley buses",12.5
"397",2011,"Hungary","Trains",10.2
"398",2011,"Hungary","Passenger cars",68.3
"399",2011,"Hungary","Motor coaches, buses and trolley buses",21.5
"400",2011,"Netherlands","Trains",10.5
"401",2011,"Netherlands","Passenger cars",86.5
"402",2011,"Netherlands","Motor coaches, buses and trolley buses",3
"403",2011,"Austria","Trains",11.3
"404",2011,"Austria","Passenger cars",78.3
"405",2011,"Austria","Motor coaches, buses and trolley buses",10.4
"406",2011,"Poland","Trains",6.9
"407",2011,"Poland","Passenger cars",77.4
"408",2011,"Poland","Motor coaches, buses and trolley buses",15.7
"409",2011,"Portugal","Trains",4.5
"410",2011,"Portugal","Passenger cars",89.2
"411",2011,"Portugal","Motor coaches, buses and trolley buses",6.3
"412",2011,"Romania","Trains",5.3
"413",2011,"Romania","Passenger cars",78.5
"414",2011,"Romania","Motor coaches, buses and trolley buses",16.2
"415",2011,"Slovenia","Trains",2.3
"416",2011,"Slovenia","Passenger cars",86.6
"417",2011,"Slovenia","Motor coaches, buses and trolley buses",11
"418",2011,"Slovakia","Trains",7
"419",2011,"Slovakia","Passenger cars",77.3
"420",2011,"Slovakia","Motor coaches, buses and trolley buses",15.7
"421",2011,"Finland","Trains",5
"422",2011,"Finland","Passenger cars",85.1
"423",2011,"Finland","Motor coaches, buses and trolley buses",9.8
"424",2011,"Sweden","Trains",8.7
"425",2011,"Sweden","Passenger cars",83.8
"426",2011,"Sweden","Motor coaches, buses and trolley buses",7.4
"427",2011,"United Kingdom","Trains",7.8
"428",2011,"United Kingdom","Passenger cars",86.3
"429",2011,"United Kingdom","Motor coaches, buses and trolley buses",5.9
"430",2011,"Norway","Trains",4.5
"431",2011,"Norway","Passenger cars",88.4
"432",2011,"Norway","Motor coaches, buses and trolley buses",7
"433",2011,"Switzerland","Trains",19.6
"434",2011,"Switzerland","Passenger cars",74.8
"435",2011,"Switzerland","Motor coaches, buses and trolley buses",5.7
"436",2012,"European Union (current composition)","Trains",7.7
"437",2012,"European Union (current composition)","Passenger cars",82.9
"438",2012,"European Union (current composition)","Motor coaches, buses and trolley buses",9.5
"439",2012,"Belgium","Trains",7.8
"440",2012,"Belgium","Passenger cars",79.3
"441",2012,"Belgium","Motor coaches, buses and trolley buses",12.9
"442",2012,"Bulgaria","Trains",3.1
"443",2012,"Bulgaria","Passenger cars",82.1
"444",2012,"Bulgaria","Motor coaches, buses and trolley buses",14.8
"445",2012,"Czechia","Trains",8.3
"446",2012,"Czechia","Passenger cars",74
"447",2012,"Czechia","Motor coaches, buses and trolley buses",17.7
"448",2012,"Denmark","Trains",10.2
"449",2012,"Denmark","Passenger cars",80
"450",2012,"Denmark","Motor coaches, buses and trolley buses",9.8
"451",2012,"Germany (until 1990 former territory of the FRG)","Trains",8.9
"452",2012,"Germany (until 1990 former territory of the FRG)","Passenger cars",85.5
"453",2012,"Germany (until 1990 former territory of the FRG)","Motor coaches, buses and trolley buses",5.6
"454",2012,"Estonia","Trains",1.8
"455",2012,"Estonia","Passenger cars",81.4
"456",2012,"Estonia","Motor coaches, buses and trolley buses",16.8
"457",2012,"Ireland","Trains",2.8
"458",2012,"Ireland","Passenger cars",82.8
"459",2012,"Ireland","Motor coaches, buses and trolley buses",14.4
"460",2012,"Greece","Trains",0.7
"461",2012,"Greece","Passenger cars",81.6
"462",2012,"Greece","Motor coaches, buses and trolley buses",17.7
"463",2012,"Spain","Trains",5.6
"464",2012,"Spain","Passenger cars",80.7
"465",2012,"Spain","Motor coaches, buses and trolley buses",13.7
"466",2012,"France","Trains",9.5
"467",2012,"France","Passenger cars",85.1
"468",2012,"France","Motor coaches, buses and trolley buses",5.4
"469",2012,"Croatia","Trains",3.5
"470",2012,"Croatia","Passenger cars",85.8
"471",2012,"Croatia","Motor coaches, buses and trolley buses",10.7
"472",2012,"Italy","Trains",6.4
"473",2012,"Italy","Passenger cars",78.9
"474",2012,"Italy","Motor coaches, buses and trolley buses",14.7
"475",2012,"Latvia","Trains",4.8
"476",2012,"Latvia","Passenger cars",76.9
"477",2012,"Latvia","Motor coaches, buses and trolley buses",18.3
"478",2012,"Lithuania","Trains",0.7
"479",2012,"Lithuania","Passenger cars",91.9
"480",2012,"Lithuania","Motor coaches, buses and trolley buses",7.3
"481",2012,"Luxembourg","Trains",4.6
"482",2012,"Luxembourg","Passenger cars",83
"483",2012,"Luxembourg","Motor coaches, buses and trolley buses",12.4
"484",2012,"Hungary","Trains",10.1
"485",2012,"Hungary","Passenger cars",67.6
"486",2012,"Hungary","Motor coaches, buses and trolley buses",22.3
"487",2012,"Netherlands","Trains",10.7
"488",2012,"Netherlands","Passenger cars",86.6
"489",2012,"Netherlands","Motor coaches, buses and trolley buses",2.7
"490",2012,"Austria","Trains",11.8
"491",2012,"Austria","Passenger cars",77.9
"492",2012,"Austria","Motor coaches, buses and trolley buses",10.4
"493",2012,"Poland","Trains",7.2
"494",2012,"Poland","Passenger cars",76.8
"495",2012,"Poland","Motor coaches, buses and trolley buses",16
"496",2012,"Portugal","Trains",4.1
"497",2012,"Portugal","Passenger cars",89.5
"498",2012,"Portugal","Motor coaches, buses and trolley buses",6.4
"499",2012,"Romania","Trains",4.6
"500",2012,"Romania","Passenger cars",78.2
"501",2012,"Romania","Motor coaches, buses and trolley buses",17.2
"502",2012,"Slovenia","Trains",2.3
"503",2012,"Slovenia","Passenger cars",86.7
"504",2012,"Slovenia","Motor coaches, buses and trolley buses",11.1
"505",2012,"Slovakia","Trains",7.1
"506",2012,"Slovakia","Passenger cars",77.3
"507",2012,"Slovakia","Motor coaches, buses and trolley buses",15.6
"508",2012,"Finland","Trains",5.3
"509",2012,"Finland","Passenger cars",84.9
"510",2012,"Finland","Motor coaches, buses and trolley buses",9.8
"511",2012,"Sweden","Trains",9.1
"512",2012,"Sweden","Passenger cars",83.6
"513",2012,"Sweden","Motor coaches, buses and trolley buses",7.3
"514",2012,"United Kingdom","Trains",8.1
"515",2012,"United Kingdom","Passenger cars",86.1
"516",2012,"United Kingdom","Motor coaches, buses and trolley buses",5.8
"517",2012,"Norway","Trains",4.6
"518",2012,"Norway","Passenger cars",89.8
"519",2012,"Norway","Motor coaches, buses and trolley buses",5.6
"520",2012,"Switzerland","Trains",19.2
"521",2012,"Switzerland","Passenger cars",75
"522",2012,"Switzerland","Motor coaches, buses and trolley buses",5.7
"523",2013,"European Union (current composition)","Trains",7.8
"524",2013,"European Union (current composition)","Passenger cars",82.4
"525",2013,"European Union (current composition)","Motor coaches, buses and trolley buses",9.8
"526",2013,"Belgium","Trains",8.2
"527",2013,"Belgium","Passenger cars",79.8
"528",2013,"Belgium","Motor coaches, buses and trolley buses",11.9
"529",2013,"Bulgaria","Trains",2.9
"530",2013,"Bulgaria","Passenger cars",83
"531",2013,"Bulgaria","Motor coaches, buses and trolley buses",14
"532",2013,"Czechia","Trains",8.5
"533",2013,"Czechia","Passenger cars",73.6
"534",2013,"Czechia","Motor coaches, buses and trolley buses",17.9
"535",2013,"Denmark","Trains",10.3
"536",2013,"Denmark","Passenger cars",79.9
"537",2013,"Denmark","Motor coaches, buses and trolley buses",9.8
"538",2013,"Germany (until 1990 former territory of the FRG)","Trains",8.4
"539",2013,"Germany (until 1990 former territory of the FRG)","Passenger cars",85.8
"540",2013,"Germany (until 1990 former territory of the FRG)","Motor coaches, buses and trolley buses",5.7
"541",2013,"Estonia","Trains",1.6
"542",2013,"Estonia","Passenger cars",81
"543",2013,"Estonia","Motor coaches, buses and trolley buses",17.4
"544",2013,"Ireland","Trains",2.7
"545",2013,"Ireland","Passenger cars",83.2
"546",2013,"Ireland","Motor coaches, buses and trolley buses",14.1
"547",2013,"Greece","Trains",0.9
