"Povpreène meseène plaèe po: STATISTIÈNA REGIJA, SKD DEJAVNOST, MESEC,"
"PLAÈE , MERITVE"

" ";" ";" ";"Bruto plaèa";" ";" ";" ";" ";" ";" ";" ";" ";"Neto plaèa";" ";" ";" ";" ";" ";" ";" ";" "
" ";" ";" ";"Plaèa za mesec [EUR]";"Plaèa za obdobje [EUR]";"Izredna izplaèila [za vse zaposlene osebe] [EUR]";"Izredna izplaèila [EUR]";"Plaèa za plaèano uro za mesec [EUR]";"Plaèa za plaèano uro za obdobje [EUR]";"Tekoèi mesec / prejšnji mesec";"Tekoèi mesec / isti mesec prejšnjega leta";"Povpreèje mesecev tekoèega leta / povpreèje istih mesecev prejšnjega leta";"Plaèa za mesec [EUR]";"Plaèa za obdobje [EUR]";"Izredna izplaèila [za vse zaposlene osebe] [EUR]";"Izredna izplaèila [EUR]";"Plaèa za plaèano uro za mesec [EUR]";"Plaèa za plaèano uro za obdobje [EUR]";"Tekoèi mesec / prejšnji mesec";"Tekoèi mesec / isti mesec prejšnjega leta";"Povpreèje mesecev tekoèega leta / povpreèje istih mesecev prejšnjega leta"
"SLOVENIJA"
" ";" ";"2007";1323.35;1323.35;-;-;7.68;7.68;96.40;103.70;103.70;852.10;852.10;-;-;4.94;4.94;97.20;105.70;105.70
" ";" ";"2008";1439.82;1439.82;-;-;8.24;8.24;95.30;108.80;108.80;926.55;926.55;-;-;5.30;5.30;96.50;108.70;108.70
" ";" ";"2009";1633.81;1633.81;-;-;9.59;9.59;86.50;113.50;113.50;1035.87;1035.87;-;-;6.08;6.08;92.70;111.80;111.80
" ";" ";"2010";1609.52;1609.52;-;-;9.91;9.91;94.70;98.50;98.50;1017.20;1017.20;-;-;6.26;6.26;95.30;98.20;98.20
" ";" ";"2011";1683.29;1683.29;53.11;2322.36;10.44;10.44;99.00;104.60;104.60;1076.44;1076.44;-;-;6.68;6.68;100.00;105.80;105.80
" ";" ";"2012";1578.64;1578.64;7.60;4000.00;9.33;9.33;97.00;93.80;93.80;1021.00;1021.00;-;-;6.03;6.03;98.30;94.80;94.80
" ";" ";"2013";1531.62;1531.62;5.55;1594.00;8.78;8.78;98.20;97.00;97.00;998.89;998.89;-;-;5.72;5.72;99.20;97.80;97.80
" ";" ";"2014";1444.92;1444.92;-;-;8.23;8.23;95.90;94.30;94.30;954.03;954.03;-;-;5.43;5.43;98.30;95.50;95.50
" ";" ";"2015";1444.30;1444.30;-;-;8.58;8.58;94.80;100.00;100.00;953.26;953.26;-;-;5.66;5.66;96.40;99.90;99.90
" ";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI"
" ";" ";"2005";606.51;606.51;-;-;3.88;3.88;93.00;93.50;93.50;425.06;425.06;-;-;2.72;2.72;96.60;102.30;102.30
" ";" ";"2006";695.97;695.97;-;-;4.14;4.14;101.70;114.70;114.70;479.59;479.59;-;-;2.85;2.85;101.80;112.80;112.80
" ";" ";"2007";704.17;704.17;-;-;4.15;4.15;99.70;101.20;101.20;483.19;483.19;-;-;2.85;2.85;98.00;100.80;100.80
" ";" ";"2008";762.33;762.33;-;-;4.46;4.46;100.50;108.30;108.30;541.45;541.45;-;-;3.17;3.17;102.00;112.10;112.10
" ";" ";"2009";799.71;799.71;-;-;4.87;4.87;96.20;104.90;104.90;558.56;558.56;-;-;3.40;3.40;97.30;103.20;103.20
" ";" ";"2010";855.58;855.58;-;-;5.48;5.48;98.70;107.00;107.00;590.18;590.18;-;-;3.78;3.78;99.10;105.70;105.70
" ";" ";"2011";917.09;917.09;-;-;5.95;5.95;102.60;107.20;107.20;640.78;640.78;-;-;4.16;4.16;102.80;108.60;108.60
" ";" ";"2012";928.75;928.75;-;-;5.80;5.80;103.20;101.30;101.30;628.35;628.35;-;-;3.92;3.92;96.80;98.10;98.10
" ";" ";"2013";1004.41;1004.41;-;-;6.07;6.07;100.20;108.10;108.10;711.84;711.84;-;-;4.30;4.30;100.20;113.30;113.30
" ";" ";"2014";856.91;856.91;-;-;5.42;5.42;101.00;85.30;85.30;610.44;610.44;-;-;3.86;3.86;101.10;85.80;85.80
" ";" ";"2015";909.65;909.65;-;-;5.75;5.75;102.70;106.20;106.20;641.02;641.02;-;-;4.05;4.05;102.10;105.00;105.00
" ";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI"
" ";" ";"2005";1197.02;1197.02;-;-;7.18;7.18;99.00;101.70;101.70;780.50;780.50;-;-;4.68;4.68;98.50;103.30;103.30
" ";" ";"2006";1254.29;1254.29;-;-;7.25;7.25;100.90;104.80;104.80;816.32;816.32;-;-;4.72;4.72;100.50;104.60;104.60
" ";" ";"2007";1281.07;1281.07;-;-;7.24;7.24;101.80;102.10;102.10;862.49;862.49;-;-;4.88;4.88;101.60;105.70;105.70
" ";" ";"2008";1305.86;1305.86;-;-;7.40;7.40;99.90;101.90;101.90;881.18;881.18;-;-;4.99;4.99;100.10;102.20;102.20
" ";" ";"2009";1585.37;1585.37;-;-;9.30;9.30;103.00;121.40;121.40;1046.90;1046.90;-;-;6.14;6.14;102.60;118.80;118.80
" ";" ";"2010";1591.06;1591.06;-;-;9.82;9.82;99.00;100.40;100.40;1052.51;1052.51;-;-;6.50;6.50;99.40;100.50;100.50
" ";" ";"2011";1598.94;1598.94;-;-;9.89;9.89;100.20;100.50;100.50;1057.03;1057.03;-;-;6.54;6.54;100.10;100.40;100.40
" ";" ";"2012";1651.50;1651.50;-;-;9.83;9.83;99.80;103.30;103.30;1086.13;1086.13;-;-;6.46;6.46;99.70;102.80;102.80
" ";" ";"2013";1643.17;1643.17;-;-;9.20;9.20;98.80;99.50;99.50;1092.84;1092.84;-;-;6.12;6.12;98.80;100.60;100.60
" ";" ";"2014";1628.29;1628.29;-;-;9.14;9.14;99.30;99.10;99.10;1085.28;1085.28;-;-;6.09;6.09;99.40;99.30;99.30
" ";" ";"2015";1596.29;1596.29;-;-;9.28;9.28;98.00;98.00;98.00;1065.81;1065.81;-;-;6.20;6.20;98.50;98.20;98.20
" ";"P IZOBRAŽEVANJE"
" ";" ";"2005";1290.92;1290.92;-;-;7.81;7.81;99.90;105.80;105.80;831.18;831.18;-;-;5.03;5.03;98.90;104.80;104.80
" ";" ";"2006";1346.61;1346.61;-;-;8.15;8.15;98.70;104.30;104.30;863.54;863.54;-;-;5.23;5.23;98.80;103.90;103.90
" ";" ";"2007";1430.56;1430.56;-;-;8.65;8.65;99.80;106.20;106.20;949.31;949.31;-;-;5.74;5.74;100.30;109.90;109.90
" ";" ";"2008";1462.68;1462.68;-;-;8.87;8.87;99.50;102.20;102.20;968.51;968.51;-;-;5.87;5.87;100.10;102.00;102.00
" ";" ";"2009";1618.58;1618.58;4.32;42.41;9.86;9.86;98.80;110.70;110.70;1058.86;1058.86;-;-;6.45;6.45;98.70;109.30;109.30
" ";" ";"2010";1607.73;1607.73;-;-;10.14;10.14;99.60;99.30;99.30;1052.22;1052.22;-;-;6.64;6.64;99.70;99.40;99.40
" ";" ";"2011";1619.54;1619.54;-;-;10.31;10.31;101.40;100.70;100.70;1060.26;1060.26;-;-;6.75;6.75;101.40;100.80;100.80
" ";" ";"2012";1593.15;1593.15;-;-;9.71;9.71;100.30;98.40;98.40;1046.00;1046.00;-;-;6.38;6.38;100.20;98.70;98.70
" ";" ";"2013";1497.01;1497.01;-;-;8.83;8.83;100.00;94.00;94.00;1000.19;1000.19;-;-;5.90;5.90;100.10;95.60;95.60
" ";" ";"2014";1471.01;1471.01;0.58;9.74;8.71;8.71;99.60;98.30;98.30;987.23;987.23;-;-;5.84;5.84;100.60;98.70;98.70
" ";" ";"2015";1508.75;1508.75;0.58;14.46;9.21;9.21;99.80;102.60;102.60;1005.69;1005.69;-;-;6.14;6.14;99.60;101.90;101.90
" ";"Q ZDRAVSTVO IN SOCIALNO VARSTVO"
" ";" ";"2005";1175.67;1175.67;-;-;6.84;6.84;94.80;100.40;100.40;752.99;752.99;-;-;4.38;4.38;94.60;102.20;102.20
" ";" ";"2006";1216.46;1216.46;-;-;7.04;7.04;99.40;103.50;103.50;782.35;782.35;-;-;4.52;4.52;99.10;103.90;103.90
" ";" ";"2007";1237.82;1237.82;-;-;7.15;7.15;96.60;101.80;101.80;818.75;818.75;-;-;4.73;4.73;97.20;104.70;104.70
" ";" ";"2008";1311.90;1311.90;-;-;7.61;7.61;99.50;106.00;106.00;871.25;871.25;-;-;5.05;5.05;99.50;106.40;106.40
" ";" ";"2009";1599.58;1599.58;3.50;1382.67;9.11;9.11;92.20;121.90;121.90;1027.03;1027.03;-;-;5.85;5.85;94.80;117.90;117.90
" ";" ";"2010";1589.20;1589.20;-;-;9.45;9.45;98.90;99.40;99.40;1025.86;1025.86;-;-;6.10;6.10;98.90;99.90;99.90
" ";" ";"2011";1556.00;1556.00;-;-;9.33;9.33;99.90;97.90;97.90;1016.84;1016.84;-;-;6.10;6.10;100.20;99.10;99.10
" ";" ";"2012";1560.09;1560.09;-;-;9.14;9.14;99.80;100.30;100.30;1015.56;1015.56;-;-;5.95;5.95;99.60;99.90;99.90
" ";" ";"2013";1528.08;1528.08;-;-;8.71;8.71;96.30;97.90;97.90;1006.89;1006.89;-;-;5.74;5.74;96.60;99.10;99.10
" ";" ";"2014";1520.35;1520.35;-;-;8.59;8.59;97.30;99.50;99.50;1002.95;1002.95;-;-;5.66;5.66;97.50;99.60;99.60
" ";" ";"2015";1541.04;1541.04;-;-;8.94;8.94;96.60;101.40;101.40;1011.21;1011.21;-;-;5.86;5.86;97.00;100.80;100.80
" ";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI"
" ";" ";"2005";1149.04;1149.04;-;-;7.04;7.04;95.90;100.60;100.60;741.32;741.32;-;-;4.54;4.54;96.80;101.90;101.90
" ";" ";"2006";1196.84;1196.84;-;-;7.20;7.20;99.40;104.20;104.20;788.17;788.17;-;-;4.74;4.74;99.40;106.30;106.30
" ";" ";"2007";1214.57;1214.57;-;-;6.88;6.88;98.40;101.50;101.50;815.05;815.05;-;-;4.62;4.62;98.80;103.40;103.40
" ";" ";"2008";1433.05;1433.05;-;-;8.17;8.17;100.50;118.00;118.00;964.64;964.64;-;-;5.50;5.50;101.10;118.40;118.40
" ";" ";"2009";1390.96;1390.96;-;-;8.24;8.24;100.30;97.10;97.10;926.66;926.66;-;-;5.49;5.49;100.20;96.10;96.10
" ";" ";"2010";1438.15;1438.15;-;-;8.86;8.86;100.90;103.40;103.40;953.55;953.55;-;-;5.88;5.88;99.80;102.90;102.90
" ";" ";"2011";1425.36;1425.36;-;-;8.76;8.76;100.20;99.10;99.10;945.61;945.61;-;-;5.81;5.81;101.50;99.20;99.20
" ";" ";"2012";1402.10;1402.10;-;-;8.34;8.34;100.60;98.40;98.40;940.49;940.49;-;-;5.60;5.60;100.90;99.50;99.50
" ";" ";"2013";1362.21;1362.21;-;-;7.86;7.86;100.80;97.20;97.20;910.24;910.24;-;-;5.25;5.25;100.10;96.80;96.80
" ";" ";"2014";1322.75;1322.75;-;-;7.70;7.70;98.10;97.10;97.10;889.02;889.02;-;-;5.18;5.18;97.80;97.70;97.70
" ";" ";"2015";1300.34;1300.34;-;-;8.00;8.00;98.00;98.30;98.30;890.52;890.52;-;-;5.48;5.48;98.40;100.20;100.20
" ";"S DRUGE DEJAVNOSTI"
" ";" ";"2005";973.16;973.16;-;-;5.77;5.77;81.10;101.00;101.00;624.62;624.62;-;-;3.70;3.70;82.10;102.00;102.00
" ";" ";"2006";1052.50;1052.50;-;-;6.31;6.31;85.30;108.20;108.20;660.43;660.43;-;-;3.96;3.96;87.20;105.70;105.70
" ";" ";"2007";1153.48;1153.48;-;-;6.81;6.81;98.10;109.60;109.60;764.48;764.48;-;-;4.51;4.51;97.90;115.80;115.80
" ";" ";"2008";1163.11;1163.11;-;-;7.16;7.16;82.00;100.80;100.80;743.86;743.86;-;-;4.58;4.58;82.70;97.30;97.30
" ";" ";"2009";1253.36;1253.36;-;-;8.12;8.12;88.50;107.80;107.80;830.21;830.21;-;-;5.38;5.38;92.30;111.60;111.60
" ";" ";"2010";1379.29;1379.29;-;-;8.27;8.27;83.60;110.00;110.00;904.66;904.66;-;-;5.42;5.42;86.50;109.00;109.00
" ";" ";"2011";1383.05;1383.05;162.28;494.57;8.39;8.39;110.70;100.30;100.30;912.56;912.56;-;-;5.54;5.54;110.70;100.90;100.90
" ";" ";"2012";1188.18;1188.18;-;-;7.04;7.04;93.70;85.90;85.90;801.38;801.38;-;-;4.75;4.75;95.30;87.80;87.80
" ";" ";"2013";1227.28;1227.28;-;-;7.25;7.25;94.90;103.30;103.30;818.80;818.80;-;-;4.84;4.84;95.60;102.20;102.20
" ";" ";"2014";1214.26;1214.26;-;-;7.03;7.03;92.50;98.90;98.90;801.37;801.37;-;-;4.64;4.64;92.00;97.90;97.90
" ";" ";"2015";1095.01;1095.01;-;-;6.82;6.82;90.00;90.20;90.20;724.18;724.18;-;-;4.51;4.51;88.40;90.40;90.40
"Jugovzhodna Slovenija"
" ";"SKD Dejavnost"
" ";" ";"2005";1081.93;1081.93;-;-;6.45;6.45;96.20;108.80;108.80;703.48;703.48;-;-;4.20;4.20;96.70;110.20;110.20
" ";" ";"2006";1176.94;1176.94;-;-;6.81;6.81;105.00;108.80;108.80;757.34;757.34;-;-;4.38;4.38;103.80;107.70;107.70
" ";" ";"2007";1245.09;1245.09;-;-;7.02;7.02;106.00;105.80;105.80;820.60;820.60;-;-;4.62;4.62;106.40;108.40;108.40
" ";" ";"2008";1359.05;1359.05;-;-;7.67;7.67;109.10;109.20;109.20;886.65;886.65;-;-;5.00;5.00;107.20;108.00;108.00
" ";" ";"2009";1375.06;1375.06;57.43;671.75;8.11;8.11;101.00;101.20;101.20;904.50;904.50;-;-;5.34;5.34;100.10;102.00;102.00
" ";" ";"2010";1427.59;1427.59;74.27;798.21;8.67;8.67;100.30;103.80;103.80;937.36;937.36;-;-;5.69;5.69;100.40;103.60;103.60
" ";" ";"2011";1506.68;1506.68;90.30;828.40;9.16;9.16;101.70;105.50;105.50;988.72;988.72;-;-;6.01;6.01;101.90;105.50;105.50
" ";" ";"2012";1559.88;1559.88;91.01;908.56;9.18;9.18;105.70;103.50;103.50;1020.29;1020.29;-;-;6.00;6.00;105.20;103.20;103.20
" ";" ";"2013";1599.82;1599.82;110.90;974.48;9.11;9.11;107.70;102.60;102.60;1049.13;1049.13;-;-;5.97;5.97;107.00;102.80;102.80
" ";" ";"2014";1623.67;1623.67;121.04;967.84;9.20;9.20;108.00;101.50;101.50;1059.15;1059.15;-;-;6.00;6.00;106.70;101.00;101.00
" ";" ";"2015";1618.61;1618.61;109.84;914.80;9.49;9.49;102.70;99.70;99.70;1059.29;1059.29;-;-;6.21;6.21;102.70;100.00;100.00
" ";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO"
" ";" ";"2005";1085.58;1085.58;-;-;6.74;6.74;85.00;99.40;99.40;713.34;713.34;-;-;4.43;4.43;86.40;100.50;100.50
" ";" ";"2006";1155.86;1155.86;-;-;6.75;6.75;99.20;106.50;106.50;759.41;759.41;-;-;4.43;4.43;99.10;106.50;106.50
" ";" ";"2007";1244.53;1244.53;-;-;7.02;7.02;94.70;107.70;107.70;825.73;825.73;-;-;4.65;4.65;94.70;108.70;108.70
" ";" ";"2008";1355.29;1355.29;-;-;7.64;7.64;101.40;108.90;108.90;895.45;895.45;-;-;5.04;5.04;100.60;108.40;108.40
" ";" ";"2009";1283.40;1283.40;-;-;7.53;7.53;94.20;94.70;94.70;854.83;854.83;-;-;5.02;5.02;94.80;95.50;95.50
" ";" ";"2010";1271.08;1271.08;-;-;7.98;7.98;93.00;99.00;99.00;846.26;846.26;-;-;5.32;5.32;93.80;99.00;99.00
" ";" ";"2011";1392.52;1392.52;-;-;8.85;8.85;96.90;109.60;109.60;924.20;924.20;-;-;5.87;5.87;97.50;109.20;109.20
" ";" ";"2012";1533.23;1533.23;-;-;8.92;8.92;106.20;110.10;110.10;1004.66;1004.66;-;-;5.85;5.85;105.30;108.70;108.70
" ";" ";"2013";1442.95;1442.95;-;-;8.02;8.02;98.30;94.10;94.10;958.90;958.90;-;-;5.33;5.33;99.00;95.40;95.40
" ";" ";"2014";1499.02;1499.02;-;-;8.29;8.29;99.00;103.90;103.90;989.29;989.29;-;-;5.47;5.47;99.10;103.20;103.20
" ";" ";"2015";1449.31;1449.31;55.16;510.28;8.36;8.36;100.00;96.70;96.70;965.31;965.31;-;-;5.57;5.57;100.20;97.60;97.60
" ";"B RUDARSTVO"
" ";" ";"2005";1136.33;1136.33;-;-;6.96;6.96;81.50;111.40;111.40;712.48;712.48;-;-;4.36;4.36;92.60;110.40;110.40
" ";" ";"2006";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
" ";" ";"2007";1416.86;1416.86;-;-;7.60;7.60;108.50;101.00;101.00;908.86;908.86;-;-;4.87;4.87;108.10;105.00;105.00
" ";" ";"2008";1405.40;1405.40;-;-;7.49;7.49;103.40;99.20;99.20;915.05;915.05;-;-;4.88;4.88;104.10;100.70;100.70
" ";" ";"2009";1403.94;1403.94;-;-;7.91;7.91;95.00;99.90;99.90;928.33;928.33;-;-;5.23;5.23;95.60;101.50;101.50
" ";" ";"2010";1300.84;1300.84;-;-;7.59;7.59;91.90;92.70;92.70;873.95;873.95;-;-;5.10;5.10;92.40;94.10;94.10
" ";" ";"2011";1357.70;1357.70;-;-;7.93;7.93;70.50;104.40;104.40;911.46;911.46;-;-;5.33;5.33;96.60;104.30;104.30
" ";" ";"2012";1426.00;1426.00;-;-;8.01;8.01;70.30;105.00;105.00;967.53;967.53;-;-;5.43;5.43;72.40;106.20;106.20
" ";" ";"2013";2117.43;2117.43;-;-;11.38;11.38;106.50;148.50;148.50;1432.65;1432.65;-;-;7.70;7.70;120.90;148.10;148.10
" ";" ";"2014";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
" ";" ";"2015";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
" ";"C PREDELOVALNE DEJAVNOSTI"
" ";" ";"2005";1027.93;1027.93;-;-;6.14;6.14;98.30;112.40;112.40;673.16;673.16;-;-;4.02;4.02;98.30;113.90;113.90
" ";" ";"2006";1150.65;1150.65;-;-;6.62;6.62;112.70;111.90;111.90;737.02;737.02;-;-;4.24;4.24;109.40;109.50;109.50
" ";" ";"2007";1218.43;1218.43;-;-;6.85;6.85;112.90;105.90;105.90;803.67;803.67;-;-;4.52;4.52;114.00;109.00;109.00
" ";" ";"2008";1357.10;1357.10;-;-;7.63;7.63;115.70;111.40;111.40;876.09;876.09;-;-;4.92;4.92;111.80;109.00;109.00
" ";" ";"2009";1288.38;1288.38;87.63;763.98;7.68;7.68;102.90;94.90;94.90;855.27;855.27;-;-;5.10;5.10;101.20;97.60;97.60
" ";" ";"2010";1411.10;1411.10;129.39;980.00;8.50;8.50;102.60;109.50;109.50;926.94;926.94;-;-;5.58;5.58;102.60;108.40;108.40
" ";" ";"2011";1533.81;1533.81;152.16;1003.29;9.20;9.20;104.80;108.70;108.70;1001.99;1001.99;-;-;6.01;6.01;104.90;108.10;108.10
" ";" ";"2012";1616.94;1616.94;156.07;1043.52;9.46;9.46;111.10;105.40;105.40;1051.37;1051.37;-;-;6.15;6.15;109.60;104.90;104.90
" ";" ";"2013";1717.59;1717.59;192.65;1098.60;9.73;9.73;115.20;106.20;106.20;1113.75;1113.75;-;-;6.31;6.31;113.80;105.90;105.90
" ";" ";"2014";1760.85;1760.85;207.08;975.35;9.91;9.91;113.60;102.50;102.50;1133.52;1133.52;-;-;6.38;6.38;111.70;101.80;101.80
" ";" ";"2015";1774.09;1774.09;183.49;1058.32;10.26;10.26;103.50;100.80;100.80;1140.07;1140.07;-;-;6.59;6.59;103.50;100.60;100.60
" ";"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO"
" ";" ";"2005";1767.00;1767.00;-;-;10.51;10.51;119.30;132.30;132.30;1088.38;1088.38;-;-;6.47;6.47;117.20;131.80;131.80
" ";" ";"2006";2241.66;2241.66;-;-;12.81;12.81;143.70;126.90;126.90;1352.94;1352.94;-;-;7.73;7.73;137.00;124.30;124.30
" ";" ";"2007";2507.42;2507.42;-;-;13.99;13.99;163.80;111.90;111.90;1562.75;1562.75;-;-;8.72;8.72;160.50;115.50;115.50
" ";" ";"2008";2977.32;2977.32;-;-;16.59;16.59;181.70;118.70;118.70;1851.23;1851.23;-;-;10.32;10.32;172.30;118.50;118.50
" ";" ";"2009";2540.22;2540.22;599.72;757.70;14.71;14.71;127.20;85.30;85.30;1590.27;1590.27;-;-;9.21;9.21;124.80;85.90;85.90
" ";" ";"2010";2738.55;2738.55;809.65;1010.10;16.47;16.47;131.20;107.80;107.80;1704.43;1704.43;-;-;10.25;10.25;128.60;107.20;107.20
" ";" ";"2011";3263.29;3263.29;1052.22;1088.87;19.58;19.58;141.70;119.20;119.20;2002.25;2002.25;-;-;12.02;12.02;138.40;117.50;117.50
" ";" ";"2012";3354.19;3354.19;1015.26;1053.75;19.26;19.26;145.40;102.80;102.80;2056.58;2056.58;-;-;11.81;11.81;141.10;102.70;102.70
" ";" ";"2013";3507.38;3507.38;1084.36;1154.32;19.30;19.30;156.60;104.60;104.60;2165.83;2165.83;-;-;11.92;11.92;151.10;105.30;105.30
" ";" ";"2014";3570.44;3570.44;1068.04;1121.20;19.78;19.78;150.20;101.80;101.80;2187.84;2187.84;-;-;12.12;12.12;145.60;101.00;101.00
" ";" ";"2015";3352.50;3352.50;966.74;1094.75;19.19;19.19;131.60;93.90;93.90;2055.94;2055.94;-;-;11.77;11.77;129.60;94.00;94.00
" ";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA"
" ";" ";"2005";1037.29;1037.29;-;-;6.11;6.11;72.50;101.40;101.40;693.91;693.91;-;-;4.09;4.09;73.90;104.40;104.40
" ";" ";"2006";1127.70;1127.70;-;-;6.42;6.42;99.80;108.70;108.70;749.11;749.11;-;-;4.26;4.26;99.90;108.00;108.00
" ";" ";"2007";1239.91;1239.91;-;-;6.79;6.79;110.40;110.00;110.00;833.17;833.17;-;-;4.56;4.56;109.20;111.20;111.20
" ";" ";"2008";1383.31;1383.31;-;-;7.53;7.53;102.10;111.60;111.60;919.39;919.39;-;-;5.01;5.01;101.20;110.30;110.30
" ";" ";"2009";1460.85;1460.85;-;-;8.31;8.31;98.60;105.60;105.60;964.03;964.03;-;-;5.48;5.48;99.40;104.90;104.90
" ";" ";"2010";1439.78;1439.78;-;-;8.65;8.65;88.70;98.60;98.60;954.64;954.64;-;-;5.74;5.74;90.40;99.00;99.00
" ";" ";"2011";1425.66;1425.66;0.42;12.20;8.63;8.63;88.30;99.00;99.00;952.01;952.01;-;-;5.76;5.76;90.60;99.70;99.70
" ";" ";"2012";1540.25;1540.25;1.21;33.25;8.83;8.83;95.20;108.00;108.00;1019.27;1019.27;-;-;5.85;5.85;95.80;107.10;107.10
" ";" ";"2013";1657.21;1657.21;1.95;51.44;8.93;8.93;104.50;107.60;107.60;1095.79;1095.79;-;-;5.91;5.91;103.90;107.50;107.50
" ";" ";"2014";1574.58;1574.58;-;-;8.64;8.64;101.10;95.00;95.00;1042.71;1042.71;-;-;5.72;5.72;100.90;95.20;95.20
" ";" ";"2015";1556.15;1556.15;-;-;8.90;8.90;93.80;98.80;98.80;1033.87;1033.87;-;-;5.91;5.91;94.70;99.20;99.20
" ";"F GRADBENIŠTVO"
" ";" ";"2005";1006.34;1006.34;-;-;5.92;5.92;100.60;114.10;114.10;657.55;657.55;-;-;3.87;3.87;101.20;114.80;114.80
" ";" ";"2006";1034.98;1034.98;-;-;5.88;5.88;97.20;102.80;102.80;676.61;676.61;-;-;3.84;3.84;98.10;102.90;102.90
" ";" ";"2007";1124.79;1124.79;-;-;6.08;6.08;101.40;108.70;108.70;745.71;745.71;-;-;4.03;4.03;101.00;110.20;110.20
" ";" ";"2008";1235.70;1235.70;-;-;6.70;6.70;102.10;109.90;109.90;815.22;815.22;-;-;4.42;4.42;102.10;109.30;109.30
" ";" ";"2009";1186.63;1186.63;-;-;6.86;6.86;95.40;96.00;96.00;790.05;790.05;-;-;4.57;4.57;96.00;96.90;96.90
" ";" ";"2010";1235.48;1235.48;-;-;7.51;7.51;96.10;104.10;104.10;819.98;819.98;-;-;4.98;4.98;96.40;103.80;103.80
" ";" ";"2011";1272.25;1272.25;1.26;1419.00;7.61;7.61;95.50;103.00;103.00;854.56;854.56;-;-;5.11;5.11;96.70;104.20;104.20
" ";" ";"2012";1301.82;1301.82;-;-;7.57;7.57;101.70;102.30;102.30;871.17;871.17;-;-;5.07;5.07;101.90;101.90;101.90
" ";" ";"2013";1307.92;1307.92;-;-;7.32;7.32;101.40;100.50;100.50;880.28;880.28;-;-;4.92;4.92;101.60;101.00;101.00
" ";" ";"2014";1278.30;1278.30;1.38;180.56;7.21;7.21;100.20;97.70;97.70;863.73;863.73;-;-;4.87;4.87;100.30;98.10;98.10
" ";" ";"2015";1255.07;1255.07;-;-;7.32;7.32;97.70;98.20;98.20;851.76;851.76;-;-;4.97;4.97;98.00;98.60;98.60
" ";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL"
" ";" ";"2005";884.18;884.18;-;-;5.28;5.28;89.90;106.30;106.30;587.99;587.99;-;-;3.51;3.51;91.10;108.40;108.40
" ";" ";"2006";879.45;879.45;-;-;5.12;5.12;90.70;99.50;99.50;592.55;592.55;-;-;3.45;3.45;92.80;100.80;100.80
" ";" ";"2007";935.82;935.82;-;-;5.31;5.31;95.40;106.40;106.40;637.53;637.53;-;-;3.61;3.61;96.10;107.60;107.60
" ";" ";"2008";1009.42;1009.42;-;-;5.75;5.75;94.60;107.90;107.90;687.96;687.96;-;-;3.92;3.92;95.80;107.90;107.90
" ";" ";"2009";1055.52;1055.52;0.06;10.52;6.19;6.19;90.30;104.60;104.60;716.98;716.98;-;-;4.21;4.21;91.30;104.20;104.20
" ";" ";"2010";1092.37;1092.37;5.32;166.87;6.63;6.63;95.40;103.50;103.50;739.81;739.81;-;-;4.49;4.49;96.00;103.20;103.20
" ";" ";"2011";1148.72;1148.72;22.58;1018.93;7.00;7.00;97.20;105.20;105.20;780.43;780.43;-;-;4.75;4.75;97.80;105.50;105.50
" ";" ";"2012";1131.53;1131.53;6.30;409.27;6.72;6.72;95.70;98.50;98.50;772.67;772.67;-;-;4.59;4.59;96.50;99.00;99.00
" ";" ";"2013";1142.23;1142.23;5.22;464.49;6.54;6.54;98.10;100.90;100.90;781.66;781.66;-;-;4.48;4.48;98.30;101.20;101.20
" ";" ";"2014";1167.05;1167.05;8.75;454.08;6.73;6.73;97.00;102.20;102.20;795.71;795.71;-;-;4.59;4.59;97.00;101.80;101.80
" ";" ";"2015";1156.30;1156.30;2.49;626.44;6.87;6.87;95.60;99.10;99.10;789.28;789.28;-;-;4.69;4.69;96.10;99.20;99.20
" ";"H PROMET IN SKLADIŠÈENJE"
" ";" ";"2005";1004.03;1004.03;-;-;6.10;6.10;94.00;105.10;105.10;660.91;660.91;-;-;4.02;4.02;93.00;105.20;105.20
" ";" ";"2006";1085.03;1085.03;-;-;6.33;6.33;97.60;108.10;108.10;715.43;715.43;-;-;4.18;4.18;98.60;108.20;108.20
" ";" ";"2007";1155.05;1155.05;-;-;6.56;6.56;98.50;106.50;106.50;773.06;773.06;-;-;4.39;4.39;98.30;108.10;108.10
" ";" ";"2008";1230.70;1230.70;-;-;6.98;6.98;101.00;106.50;106.50;827.08;827.08;-;-;4.69;4.69;100.90;107.00;107.00
